Rank	Time	Wind	Name	Country	Birthdate	City	Date
1	9.58	+0.9	Usain Bolt	JAM	21.08.86	Berlin	16.08.2009
2	9.63	+1.5	Usain Bolt	JAM	21.08.86	London	05.08.2012
3	9.69	0.0	Usain Bolt	JAM	21.08.86	Beijing	16.08.2008
3	9.69	+2.0	Tyson Gay	USA	09.08.82	Shanghai	20.09.2009
3	9.69	-0.1	Yohan Blake	JAM	26.12.89	Lausanne	23.08.2012
6	9.71	+0.9	Tyson Gay	USA	09.08.82	Berlin	16.08.2009
7	9.72	+1.7	Usain Bolt	JAM	21.08.86	New York City	31.05.2008
7	9.72	+0.2	Asafa Powell	JAM	23.11.82	Lausanne	02.09.2008
9	9.74	+1.7	Asafa Powell	JAM	23.11.82	Rieti	09.09.2007
9	9.74	+0.9	Justin Gatlin	USA	10.02.82	Ad-Dawhah	15.05.2015
11	9.75	+1.1	Yohan Blake	JAM	26.12.89	Kingston	29.06.2012
11	9.75	+1.5	Yohan Blake	JAM	26.12.89	London	05.08.2012
11	9.75	+0.9	Justin Gatlin	USA	10.02.82	Roma	04.06.2015
11	9.75	+1.4	Justin Gatlin	USA	10.02.82	Lausanne	09.07.2015
15	9.76	+1.8	Usain Bolt	JAM	21.08.86	Kingston	03.05.2008
15	9.76	+1.3	Usain Bolt	JAM	21.08.86	Bruxelles	16.09.2011
15	9.76	-0.1	Usain Bolt	JAM	21.08.86	Roma	31.05.2012
15	9.76	+1.4	Yohan Blake	JAM	26.12.89	Z&uuml;rich	30.08.2012
19	9.77	+1.6	Asafa Powell	JAM	23.11.82	Ath&iacute;nai	14.06.2005
19	9.77	+1.5	Asafa Powell	JAM	23.11.82	Gateshead	11.06.2006
19	9.77	+1.0	Asafa Powell	JAM	23.11.82	Z&uuml;rich	18.08.2006
19	9.77	+1.6	Tyson Gay	USA	09.08.82	Eugene	28.06.2008
19	9.77	-1.3	Usain Bolt	JAM	21.08.86	Bruxelles	05.09.2008
19	9.77	+0.9	Asafa Powell	JAM	23.11.82	Rieti	07.09.2008
19	9.77	+0.4	Tyson Gay	USA	09.08.82	Roma	10.07.2009
19	9.77	-0.3	Usain Bolt	JAM	21.08.86	Moskva	11.08.2013
19	9.77	+0.6	Justin Gatlin	USA	10.02.82	Bruxelles	05.09.2014
19	9.77	+0.9	Justin Gatlin	USA	10.02.82	Beijing	23.08.2015
29	9.78	0.0	Asafa Powell	JAM	23.11.82	Rieti	09.09.2007
29	9.78	-0.4	Tyson Gay	USA	09.08.82	London	13.08.2010
29	9.78	+0.9	Nesta Carter	JAM	10.11.85	Rieti	29.08.2010
29	9.78	+1.0	Asafa Powell	JAM	23.11.82	Lausanne	30.06.2011
29	9.78	-0.3	Justin Gatlin	USA	10.02.82	Monaco	17.07.2015
34	9.79	+0.1	Maurice Greene	USA	23.07.74	Ath&iacute;nai	16.06.1999
34	9.79	-0.2	Usain Bolt	JAM	21.08.86	Saint-Denis	17.07.2009
34	9.79	+0.1	Tyson Gay	USA	09.08.82	Bruxelles	27.08.2010
34	9.79	+1.1	Tyson Gay	USA	09.08.82	Clermont	04.06.2011
34	9.79	+0.6	Usain Bolt	JAM	21.08.86	Oslo	07.06.2012
34	9.79	+1.5	Justin Gatlin	USA	10.02.82	London	05.08.2012
34	9.79	-0.5	Usain Bolt	JAM	21.08.86	Beijing	23.08.2015
41	9.80	+0.2	Maurice Greene	USA	23.07.74	Sevilla	22.08.1999
41	9.80	+1.3	Steve Mullings	JAM	29.11.82	Eugene	04.06.2011
41	9.80	+1.8	Justin Gatlin	USA	10.02.82	Eugene	24.06.2012
41	9.80	+0.6	Usain Bolt	JAM	21.08.86	Bruxelles	06.09.2013
41	9.80	+0.1	Justin Gatlin	USA	10.02.82	Lausanne	03.07.2014
41	9.80	-0.5	Justin Gatlin	USA	10.02.82	Beijing	23.08.2015
41	9.80	+1.6	Justin Gatlin	USA	10.02.82	Eugene	03.07.2016
48	9.81	0.0	Usain Bolt	JAM	21.08.86	Z&uuml;rich	28.08.2009
48	9.81	+1.3	Asafa Powell	JAM	23.11.82	Saint-Denis	04.07.2015
48	9.81	+0.2	Usain Bolt	JAM	21.08.86	Rio de Janeiro	14.08.2016
51	9.82	-0.2	Maurice Greene	USA	23.07.74	Edmonton	05.08.2001
51	9.82	0.0	Asafa Powell	JAM	23.11.82	Monaco	29.07.2008
51	9.82	+1.4	Asafa Powell	JAM	23.11.82	Rieti	07.09.2008
51	9.82	+1.4	Asafa Powell	JAM	23.11.82	Szczecin	15.09.2009
51	9.82	+0.6	Asafa Powell	JAM	23.11.82	Roma	10.06.2010
51	9.82	+0.5	Usain Bolt	JAM	21.08.86	Lausanne	08.07.2010
51	9.82	0.0	Yohan Blake	JAM	26.12.89	Z&uuml;rich	08.09.2011
51	9.82	+0.1	Yohan Blake	JAM	26.12.89	Berlin	11.09.2011
51	9.82	+1.8	Usain Bolt	JAM	21.08.86	Kingston	05.05.2012
51	9.82	+0.7	Justin Gatlin	USA	10.02.82	London	05.08.2012
51	9.82	+1.7	Richard Thompson	TTO	07.06.85	Port of Spain	21.06.2014
51	9.82	-0.1	Justin Gatlin	USA	10.02.82	Linz	14.07.2014
51	9.82	+1.3	Christian Coleman	USA	06.03.96	Eugene	07.06.2017
64	9.83	-0.3	Asafa Powell	JAM	23.11.82	Stuttgart	22.09.2007
64	9.83	-0.5	Usain Bolt	JAM	21.08.86	Z&uuml;rich	29.08.2008
64	9.83	-1.3	Asafa Powell	JAM	23.11.82	Bruxelles	05.09.2008
64	9.83	-0.5	Asafa Powell	JAM	23.11.82	Ostrava	27.05.2010
64	9.83	+0.7	Justin Gatlin	USA	10.02.82	Rieti	07.09.2014
64	9.83	+1.7	Justin Gatlin	USA	10.02.82	Eugene	03.07.2016
70	9.84	+0.7	Donovan Bailey	CAN	16.12.67	Atlanta	27.07.1996
70	9.84	+0.2	Bruny Surin	CAN	12.07.67	Sevilla	22.08.1999
70	9.84	+1.8	Asafa Powell	JAM	23.11.82	Kingston	07.05.2005
